MILK,BREAD,BISCUIT,BREA
BREAD,MILK,BISCUIT,CORNFLAKES
BREAD,TEA,BOURNVITA,BREA
JAM,MAGGI,BREAD,MILK
MAGGI,TEA,BISCUIT,BREAD
BREAD,TEA,BOURNVITA,BREA
MAGGI,TEA,CORNFLAKES,BREAD
MAGGI,BREAD,TEA,BISCUIT
JAM,MAGGI,BREAD,TEA
BREAD,MILK,BREA,TEA
COFFEE,COCK,BISCUIT,CORNFLAKES
COFFEE,COCK,BISCUIT,CORNFLAKES
COFFEE,SUGER,BOURNVITA,BREA
BREAD,COFFEE,COCK,BREA
BREAD,SUGER,BISCUIT,BREA
COFFEE,SUGER,CORNFLAKES,BREAD
BREAD,SUGER,BOURNVITA,BREA
BREAD,COFFEE,SUGER,BREA
BREAD,COFFEE,SUGER,BREA
TEA,MILK,COFFEE,CORNFLAKES
